idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
512,2023,4,29,0.0,4.988000000000001,4.999999999999998,458.6208333333333,228.99166666666667,5.0,0.0,4.0
513,2023,4,30,0.0,11.092200000000004,20.0,456.1125,225.25,20.0,0.0,4.0
514,2023,6,1,0.0,96.3108,120.0,1033.9333333333332,243.54166666666663,120.0,0.0,4.0
515,2023,6,2,0.0,78.74000000000002,110.0,1078.475,230.7375,110.0,0.0,4.0
516,2023,6,3,0.1246000000000115,10.1246,9.99999999999999,497.92083333333335,221.09583333333333,10.0,0.0,4.0
517,2023,6,4,1.1007999999999996,26.873800000000003,40.0,485.4875,232.6458333333333,40.0,0.0,4.0
518,2023,6,5,0.1559999999999988,68.16260000000001,100.0,1260.6125000000002,253.9625,100.0,0.0,4.0
519,2023,6,6,0.0,56.6592,70.0,1034.11875,259.06875,70.0,0.0,4.0
520,2023,6,7,0.0,51.16,75.0,1218.8125,273.07916666666665,75.0,0.0,4.0
521,2023,6,8,0.064,71.01879999999998,90.00000000000001,1198.975,228.2083333333333,90.0,0.0,4.0
522,2023,6,9,0.0254000000000047,61.4838,80.0,1025.625,226.3625,80.0,0.0,4.0
523,2023,6,10,0.0,12.4682,14.999999999999996,455.5875,215.375,15.0,0.0,4.0
524,2023,6,11,0.0,15.721199999999998,24.999999999999996,474.3,233.35,25.0,0.0,4.0
525,2023,6,12,1.6435999999999922,143.79180000000002,175.0,1357.35,251.3875,175.0,0.0,4.0
526,2023,6,13,1.3956000000000124,69.40359999999998,74.99999999999999,1365.5,259.5875,75.0,0.0,4.0
527,2023,6,14,0.0,119.0214,155.0,1322.5875,256.04999999999995,155.0,0.0,4.0
528,2023,6,15,0.0760000000000005,109.3388,135.0,1246.3,259.8125,135.0,0.0,4.0
529,2023,6,16,0.0,74.97739999999999,90.0,1318.7125,253.1375,90.0,0.0,4.0
530,2023,6,17,0.0,10.256000000000002,15.000000000000002,524.875,248.0625,15.0,0.0,4.0
531,2023,6,18,2.9000000000000004,6.431999999999999,5.000000000000002,535.3416666666667,231.1208333333333,5.0,0.0,4.0
532,2023,6,19,0.7074000000000069,101.9282,124.99999999999996,1005.875,245.35,125.0,0.0,4.0
533,2023,6,20,0.0,58.408,65.0,1177.6,238.0,65.0,0.0,4.0
534,2023,6,21,0.0,107.49440000000004,130.00000000000003,1133.49375,234.63958333333332,130.0,0.0,4.0
535,2023,6,22,1.3149999999999975,65.82560000000001,75.0,1121.4625,244.01666666666665,75.0,0.0,4.0
536,2023,6,23,0.7445999999999984,103.02219999999996,120.0,1185.4375,244.2875,120.0,0.0,4.0
537,2023,6,24,0.0,10.924400000000006,15.0,498.2416666666667,247.5958333333333,15.0,0.0,4.0
538,2023,6,25,0.0,22.68079999999999,35.0,496.35,245.275,35.0,0.0,4.0
539,2023,6,26,2.7663999999999973,144.0396,165.0,1137.85,253.1625,165.0,0.0,4.0
540,2023,6,27,0.0,52.69800000000001,65.00000000000001,1052.0229166666668,266.81875,65.0,0.0,4.0
541,2023,6,28,0.0,50.264,60.00000000000001,1073.2375000000002,318.9833333333333,60.0,0.0,4.0
542,2023,6,29,0.044000000000004,87.84,110.0,1224.3125,330.63750000000005,110.0,0.0,4.0
543,2023,6,30,0.0840000000000031,93.87659999999998,135.0,1496.5625,337.525,135.0,0.0,4.0
544,2023,11,1,1.873000000000001,49.1666,55.00000000000001,1248.1125,288.41666666666663,55.0,0.0,4.0
545,2023,11,2,0.450600000000005,66.0546,100.0,1210.2125,278.3625,100.0,0.0,4.0
546,2023,11,3,0.4808000000000199,47.89679999999999,59.99999999999998,1287.0,276.625,60.0,0.0,4.0
547,2023,11,4,0.0,16.596,30.000000000000007,549.8125,276.2875,30.0,0.0,4.0
548,2023,11,5,0.0,18.6808,29.999999999999982,581.9625000000001,257.0,30.0,0.0,4.0
549,2023,11,6,0.8866000000000192,112.68,155.0,1302.375,259.1625,155.0,0.0,4.0
550,2023,11,7,0.2920000000000016,66.95480000000002,79.99999999999996,1267.8625,251.225,80.0,0.0,4.0
551,2023,11,8,0.0,66.82480000000001,84.99999999999997,1311.2875,263.875,85.0,0.0,4.0
552,2023,11,9,0.0,57.150000000000006,65.0,1216.5375,260.1875,65.0,0.0,4.0
553,2023,11,10,0.0,46.5372,54.99999999999999,847.725,245.575,55.0,0.0,4.0
554,2023,11,11,0.0067999999999983,10.006799999999998,10.0,569.5375,257.85,10.0,0.0,4.0
555,2023,11,12,0.0,3.968000000000007,5.0,534.65,266.8875,5.0,0.0,4.0
556,2023,11,13,0.2486000000000032,97.1444,129.99999999999997,1126.6749999999995,268.6,130.0,0.0,4.0
557,2023,11,14,0.0,94.0996,114.99999999999996,1342.8249999999998,271.85,115.0,0.0,4.0
558,2023,11,15,0.4841999999999871,97.6496,120.0,1258.5500000000002,280.825,120.0,0.0,4.0
559,2023,11,16,0.0,68.1962,90.00000000000001,1323.5,277.4125,90.0,0.0,4.0
560,2023,11,17,0.0,37.32400000000001,45.000000000000014,1173.5500000000002,269.4625,45.0,0.0,4.0
561,2023,11,18,0.0,5.160000000000002,9.999999999999998,547.3833333333333,257.6166666666667,10.0,0.0,4.0
562,2023,11,19,0.0,3.692000000000004,5.0,505.975,255.4125,5.0,0.0,4.0
563,2023,11,20,0.0,63.96039999999999,85.0,1070.4625,249.6625,85.0,0.0,4.0
564,2023,11,21,0.0,42.7068,60.0,954.375,259.04999999999995,60.0,0.0,4.0
565,2023,11,22,0.4200000000000052,57.4798,85.0,993.9125,244.9375,85.0,0.0,4.0
566,2023,11,23,0.0,60.73759999999999,85.0,861.4749999999999,246.8375,85.0,0.0,4.0
567,2023,11,24,0.0,124.87340000000005,155.00000000000003,743.7625,272.15833333333336,155.0,0.0,4.0
568,2023,11,25,0.0,5.039999999999999,10.0,553.0749999999999,284.82916666666665,10.0,0.0,4.0
569,2023,11,26,1.0945999999999927,6.0946,5.000000000000007,536.0125,269.6875,5.0,0.0,4.0
570,2023,11,27,0.0,102.5936,135.0,954.3125,265.42499999999995,135.0,0.0,4.0
571,2023,11,28,0.0,87.0692,120.0,990.3375,283.525,120.0,0.0,4.0
572,2023,11,29,0.2960000000000029,48.32600000000001,70.0,1066.425,282.0375,70.0,0.0,4.0
573,2023,11,30,0.0,53.82640000000001,60.000000000000014,995.9791666666666,253.10416666666669,60.0,0.0,4.0
574,2024,1,1,0.1080000000000005,89.7646,120.0,720.8374999999999,264.3375,120.0,0.0,4.0
575,2024,1,2,4.492000000000001,119.2734,155.0,976.9125,261.1625,155.0,0.0,4.0
576,2024,1,3,0.5119999999999933,138.7006,165.0,898.3125,283.8125,165.0,0.0,4.0
577,2024,1,4,3.544000000000004,66.3168,85.0,1000.5625,279.32500000000005,85.0,0.0,4.0
578,2024,1,5,0.0,112.1456,135.0,1003.4875,277.61249999999995,135.0,0.0,4.0
579,2024,1,6,0.0,23.8748,35.0,512.5500000000001,240.325,35.0,0.0,4.0
580,2024,1,7,0.0,9.264800000000005,9.999999999999991,509.5999999999999,240.4,10.0,0.0,4.0
581,2024,1,8,2.915999999999997,67.3962,90.00000000000001,976.1583333333332,259.95416666666665,90.0,0.0,4.0
582,2024,1,9,1.8520000000000003,76.37999999999998,110.0,814.0875000000001,258.525,110.0,0.0,4.0
583,2024,1,10,1.3455999999999833,197.8012,275.0,881.2083333333334,253.91666666666669,275.0,0.0,4.0
584,2024,1,11,0.6560000000000024,108.8166,155.0,821.175,267.9125,155.0,0.0,4.0
585,2024,1,12,1.3400000000000016,145.3618,190.00000000000003,976.9125,286.47083333333336,190.0,0.0,4.0
586,2024,1,13,0.0,35.40700000000001,40.0,593.16875,283.34791666666666,40.0,0.0,4.0
587,2024,1,14,1.8919999999999997,14.696000000000003,25.0,580.325,282.0,25.0,0.0,4.0
588,2024,1,15,1.3956000000000088,91.8852,104.99999999999996,690.1,284.6125,105.0,0.0,4.0
589,2024,1,16,0.5040000000000013,101.9774,140.00000000000003,937.6,281.725,140.0,0.0,4.0
590,2024,1,17,0.0,75.73940000000002,90.0,1245.3375,281.6625,90.0,0.0,4.0
591,2024,1,18,0.0,139.7486,159.99999999999997,918.1125,263.95000000000005,160.0,0.0,4.0
592,2024,1,19,0.0999999999999978,100.5578,130.0,855.225,262.4375,130.0,0.0,4.0
593,2024,1,20,0.0,24.2212,30.000000000000007,507.3625,251.2,30.0,0.0,4.0
594,2024,1,21,5.096999999999994,24.4466,20.0,529.2875,251.425,20.0,0.0,4.0
595,2024,1,22,0.0,85.40420000000002,110.00000000000004,967.575,261.5375,110.0,0.0,4.0
596,2024,1,23,6.548,73.40799999999999,90.0,922.2875,272.475,90.0,0.0,4.0
597,2024,1,24,0.0120000000000004,58.28,80.0,1120.025,300.82500000000005,80.0,0.0,4.0
598,2024,1,25,2.903999999999998,31.788000000000004,35.0,1153.4875,294.5125,35.0,0.0,4.0
599,2024,1,26,1.835799999999999,71.95160000000001,85.00000000000003,1096.5,294.54999999999995,85.0,0.0,4.0
600,2024,1,27,0.0,5.507999999999999,10.0,568.6750000000001,283.4625,10.0,0.0,4.0
601,2024,1,28,0.0,2.0680000000000014,5.0,588.7,283.11249999999995,5.0,0.0,4.0
602,2024,1,29,0.0,122.5402,155.0,1428.2125,288.0,155.0,0.0,4.0
603,2024,1,30,0.0,73.21079999999999,80.00000000000001,1252.0124999999998,291.6625,80.0,0.0,4.0
604,2024,1,31,0.0,98.2014,130.0,1125.5625,276.04999999999995,130.0,0.0,4.0
